Contador    P0    P1
0	-2.22   -2.22
804	17.41	-0.16
805	17.41	-0.16
806	17.34	-0.16
807	17.34	-0.16
808	17.34	-0.16
809	17.28	-0.16
810	17.28	-0.16
811	17.28	-0.16
812	17.38	-0.16
813	17.38	-0.16
814	17.38	-0.16
815	17.56	-0.16
816	17.56	-0.16
817	17.56	-0.16
818	17.41	-0.16
819	17.41	-0.16
820	17.41	-0.16
821	17.39	-0.16
822	17.39	-0.16
823	17.39	-0.16
824	17.45	-0.16
825	17.45	-0.16
826	17.45	-0.16
827	17.54	-0.16
828	17.54	-0.16
829	17.54	-0.16
830	17.38	-0.16
831	17.38	-0.16
832	17.38	-0.16
833	17.34	-0.16
834	17.34	-0.16
835	17.34	-0.16
836	17.34	-0.16
837	17.34	-0.16
838	17.34	-0.16
839	17.38	-0.16
840	17.38	-0.16
841	17.38	-0.16
842	17.45	-0.16
843	17.45	-0.16
844	17.45	-0.16
845	17.32	-0.16
846	17.32	-0.16
847	17.32	-0.16
848	17.13	-0.16
849	17.13	-0.16
850	17.13	-0.16
851	17.31	-0.16
852	17.31	-0.16
853	17.31	-0.16
854	17.40	-0.16
855	17.40	-0.16
856	17.40	-0.16
857	17.38	-0.16
858	17.38	-0.16
859	17.38	-0.16
860	17.31	-0.16
861	17.31	-0.16
862	17.31	-0.16
863	17.22	-0.16
864	17.22	-0.16
865	17.22	-0.16
866	17.25	-0.16
867	17.25	-0.16
868	17.25	-0.16
869	17.23	-0.16
870	17.23	-0.16
871	17.23	-0.16
872	17.20	-0.16
873	17.20	-0.16
874	17.20	-0.16
875	17.26	-0.16
876	17.26	-0.16
877	17.26	-0.16
878	17.20	-0.16
879	17.20	-0.16
880	17.20	-0.16
881	17.32	-0.16
882	17.32	-0.16
883	17.32	-0.16
884	17.25	-0.16
885	17.25	-0.16
886	17.25	-0.16
887	17.13	-0.16
888	17.13	-0.16
889	17.13	-0.16
890	17.21	-0.16
891	17.21	-0.17
892	17.21	-0.17
893	17.23	-0.17
894	17.23	-0.16
895	17.23	-0.16
896	17.42	-0.16
897	17.42	-0.17
898	17.42	-0.17
899	17.41	-0.17
900	17.41	-0.16
901	17.41	-0.16
902	17.28	-0.16
903	17.28	-0.16
904	17.28	-0.16
905	17.20	-0.16
906	17.20	-0.16
907	17.20	-0.16
908	17.30	-0.16
909	17.30	-0.16
910	17.30	-0.16
911	17.26	-0.16
912	17.26	-0.16
913	17.26	-0.16
914	17.27	-0.16
915	17.27	-0.16
916	17.27	-0.16
917	17.28	-0.16
918	17.28	-0.17
919	17.28	-0.17
920	17.39	-0.17
921	17.39	-0.16
922	17.39	-0.16
923	17.34	-0.16
924	17.34	-0.16
925	17.34	-0.16
926	17.39	-0.16
927	17.39	-0.16
928	17.39	-0.16
929	17.27	-0.16
930	17.27	-0.16
931	17.27	-0.16
932	17.29	-0.16
933	17.29	-0.16
934	17.29	-0.16
935	17.45	-0.16
936	17.45	-0.16
937	17.45	-0.16
938	17.47	-0.16
939	17.47	-0.16
940	17.47	-0.16
941	17.37	-0.16
942	17.37	-0.16
943	17.37	-0.16
944	17.34	-0.16
945	17.34	-0.16
946	17.34	-0.16
947	17.43	-0.16
948	17.43	-0.16
949	17.43	-0.16
