Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
37.758	22.85	32.48	-0.06	7.57
37.848	20.63	30.26	0.03	7.66
37.938	18.31	27.94	0.01	7.64
38.076	14.38	24.01	-0.08	7.55
38.168	18.46	28.09	0.09	7.71
38.258	25.70	35.33	-0.05	7.58
38.348	30.88	40.51	0.04	7.66
38.438	31.76	41.39	0.02	7.65
38.532	25.77	35.40	0.05	7.68
38.626	21.54	31.17	-0.08	7.55
38.716	23.54	33.17	0.07	7.70
38.806	24.64	34.27	-0.03	7.59
38.896	24.14	33.77	-0.00	7.62
38.986	23.27	32.90	0.08	7.70
39.076	21.15	30.78	-0.08	7.54
39.166	18.81	28.44	0.06	7.69
39.256	16.19	25.82	-0.03	7.60
39.346	14.62	24.24	-0.00	7.62
39.436	20.70	30.33	0.08	7.71
39.526	27.74	37.37	-0.08	7.55
39.616	31.88	41.51	0.06	7.69
39.706	30.81	40.44	-0.03	7.60
39.796	24.52	34.15	-0.01	7.61
39.886	21.59	31.22	0.09	7.71
39.976	23.98	33.61	-0.08	7.55
40.075	24.54	34.17	-0.07	7.56
40.166	23.76	33.39	0.06	7.69
40.256	22.73	32.36	-0.03	7.60
40.345	20.40	30.03	-0.03	7.60
40.435	18.14	27.77	0.09	7.71
40.525	15.49	25.12	-0.08	7.55
40.615	15.85	25.48	0.06	7.69
40.705	22.85	32.48	-0.02	7.60
40.795	29.41	39.03	-0.03	7.60
40.885	32.43	42.06	0.09	7.71
40.975	28.91	38.54	-0.08	7.55
41.065	23.03	32.66	0.05	7.68
41.161	22.23	31.86	-0.06	7.57
41.255	24.59	34.22	-0.02	7.61
41.345	24.46	34.09	-0.04	7.59
41.435	23.72	33.35	0.09	7.72
41.525	22.14	31.77	-0.08	7.55
41.615	19.75	29.38	0.05	7.68
41.705	17.38	27.01	-0.02	7.61
41.795	14.66	24.29	-0.04	7.58
41.885	17.71	27.33	0.09	7.72
41.975	24.96	34.59	-0.07	7.56
42.065	30.53	40.16	0.05	7.67
42.154	32.10	41.73	-0.01	7.62
42.245	26.93	36.56	-0.05	7.58
42.336	21.90	31.53	0.07	7.69
42.426	23.13	32.75	-0.09	7.54
42.516	24.68	34.31	0.07	7.70
42.606	24.22	33.84	-0.03	7.59
42.696	23.53	33.16	0.01	7.63
42.786	21.60	31.23	0.07	7.70
42.875	19.24	28.87	-0.09	7.54
42.965	16.81	26.44	0.07	7.69
43.055	14.47	24.10	-0.04	7.59
43.145	19.08	28.71	-0.00	7.63
43.240	26.86	36.49	-0.05	7.57
43.341	31.88	41.51	-0.07	7.56
43.434	30.69	40.32	0.09	7.72
43.524	24.50	34.13	-0.06	7.57
